Module,Control ID,Control Name,Control Description,Evidence Source,Automation Status,Implementation Status,Notes
Kernel,A.5.1,Information security policy,Policies for information security defined and approved,packages/kernel/src/index.ts,Manual,Implemented,Policy enforced via PermissionManager
Kernel,A.8.16,Monitoring activities,Networks systems and applications monitored for anomalous behaviour,infrastructure/monitoring/prometheus.yml,Automated,Implemented,Prometheus metrics + Langfuse traces
Kernel,A.8.8,Management of technical vulnerabilities,Timely identification and remediation of technical vulnerabilities,.github/workflows/ci-compliance.yml,Automated,Implemented,Trivy + OWASP scans on every push
Kernel,A.10.1,Cryptographic controls,Policy on use of cryptographic controls for protection of information,infrastructure/vault/config.hcl,Automated,Implemented,Vault Transit Engine + AES-256-GCM96
Kernel,A.8.25,Secure development lifecycle,Principles for engineering secure systems established and applied,turbo.json + .github/workflows/,Automated,Implemented,CI pipeline enforces security gates
Shell,A.8.15,Logging,Event logs recording user activities exceptions faults and information security events,infrastructure/monitoring/loki.yml,Automated,Implemented,Loki + Promtail log aggregation
Shell,A.11.2,User access management,Formal user registration and de-registration process,apps/shell/src/providers/AuthProvider.tsx,Automated,Implemented,JWT + WebAuthn + TOTP MFA
Shell,A.9.4.2,Secure log-on procedures,Secure log-on procedure to control access to systems and applications,packages/webauthn/src/index.ts,Automated,Implemented,WebAuthn hardware DID + passkeys
Shell,A.9.4.3,Password management system,Interactive password management systems ensuring quality passwords,workers/identity/src/index.ts,Automated,Implemented,Zod validation + bcrypt hashing
Shell,A.6.8,Information security event reporting,Mechanism for users to report observed or suspected information security events,apps/shell/src/components/NotificationCentre.tsx,Manual,Partial,Security alert UI implemented
Apps,A.8.25,Secure development lifecycle,Principles for engineering secure systems established and applied,modules/*/infinity.manifest.json,Automated,Planned,Module signing pipeline in Phase 2
Apps,A.12.6,Technical compliance review,Regular review of information systems for compliance with security policies,.github/workflows/ci-compliance.yml,Automated,Implemented,OpenSCAP on every push
Apps,A.14.2,Security in development and support processes,Security designed and implemented within the development lifecycle,packages/policy-engine/src/lib.rs,Automated,Implemented,Rust WASM policy enforcer
Roles,A.9.2,User registration and de-registration,Formal user registration and de-registration process,database/schema/001_core.sql,Automated,Implemented,Supabase Auth + RLS policies
Roles,A.9.2.3,Management of privileged access rights,Allocation and use of privileged access rights restricted and controlled,packages/types/src/index.ts (UserRole),Automated,Implemented,4-tier RBAC: super_admin/org_admin/power_user/user
Roles,A.9.4,Review of user access rights,Asset owners review users access rights at regular intervals,database/schema/001_core.sql (audit_logs),Manual,Implemented,Quarterly review process + audit logs
Roles,A.9.1,Access control policy,Access control policy established documented and reviewed,packages/permissions/src/index.ts,Automated,Planned,RBAC policy engine
Storage,A.8.2,Classification of information,Information classified in terms of legal requirements value criticality and sensitivity,database/schema/001_core.sql (file_nodes),Manual,Implemented,File metadata includes classification
Storage,A.8.3,Handling of assets,Procedures for handling assets in accordance with information classification,infrastructure/vault/init.sh,Automated,Implemented,Crypto-shredding via Vault key deletion
Storage,A.12.3,Backup,Backup copies of information software and system images taken and tested regularly,infrastructure/docker/docker-compose.prod.yml (backup service),Automated,Implemented,Daily backup with 30-day retention
Storage,A.8.12,Data leakage prevention,Data leakage prevention measures applied to systems networks and devices,database/schema/001_core.sql (RLS),Automated,Implemented,Supabase Row Level Security on all tables
Database,A.8.12,Data leakage prevention,Data leakage prevention measures applied to systems networks and devices,database/schema/001_core.sql,Automated,Implemented,Field-level encryption + RLS
Database,A.12.4,Clock synchronisation,Clocks of all relevant information processing systems synchronised,infrastructure/docker/docker-compose.prod.yml,Automated,Implemented,NTP via Docker host
Database,A.18.1.3,Protection of records,Records protected from loss destruction falsification unauthorised access and unauthorised release,database/schema/001_core.sql (audit_logs),Automated,Implemented,Append-only audit_logs table
Security,A.5.1,Information security policy,Policies for information security defined and approved,compliance/SECURITY_POLICY.md,Manual,Planned,Policy document to be created
Security,A.6.1,Internal organisation,Information security responsibilities defined and allocated,README.md (Role Hierarchy),Manual,Implemented,4-tier role hierarchy documented
Security,A.13.1,Network security management,Networks managed and controlled to protect information in systems and applications,infrastructure/docker/docker-compose.prod.yml (networks),Automated,Implemented,Isolated Docker networks + mTLS
Security,A.16.1,Management of information security incidents,Responsibilities and procedures for consistent and effective management of incidents,.github/workflows/ci-compliance.yml (notify-failure),Automated,Implemented,GitHub Issues created on CI failure
Security,A.6.3,Information security awareness education and training,All personnel receive appropriate awareness education and training,docs/compliance/,Manual,Planned,Training materials to be created
AppStore,A.14.2,Security in development and support processes,Security designed and implemented within the development lifecycle,modules/app-store/,Automated,Planned,Module signing + vulnerability scanning
AppStore,A.12.5,Control of operational software,Procedures implemented to control installation of software on operational systems,packages/kernel/src/index.ts (PermissionManager),Automated,Implemented,Permission-based module installation
Identity,A.9.4.1,Use of privileged utility programs,Use of utility programs that might be capable of overriding system and application controls restricted,packages/policy-engine/src/lib.rs,Automated,Implemented,Rust WASM hard-blocks privileged actions
Identity,A.9.4.2,Secure log-on procedures,Secure log-on procedure to control access to systems and applications,workers/identity/src/index.ts,Automated,Implemented,OAuth 2.0 PKCE + WebAuthn + TOTP
Identity,A.10.1,Cryptographic controls,Policy on use of cryptographic controls for protection of information,workers/identity/src/index.ts (JWT),Automated,Implemented,HMAC-SHA256 JWT + AES-256 at rest
GDPR,Article 5,Principles of processing,Lawfulness fairness transparency purpose limitation data minimisation accuracy storage limitation integrity,database/schema/001_core.sql (consent_records),Automated,Implemented,Consent records table + soft deletes
GDPR,Article 7,Conditions for consent,Consent freely given specific informed and unambiguous,database/schema/001_core.sql (consent_records),Automated,Implemented,Consent captured at registration
GDPR,Article 17,Right to erasure,Data subject has right to erasure of personal data,infrastructure/vault/init.sh (crypto-shredding),Automated,Implemented,Vault key deletion renders IPFS data unreadable
GDPR,Article 20,Right to data portability,Data subject has right to receive personal data in structured machine-readable format,workers/identity/src/index.ts,Manual,Planned,Data export endpoint to be implemented
GDPR,Article 25,Data protection by design,Data protection by design and by default,database/schema/001_core.sql (RLS + encryption),Automated,Implemented,RLS + encryption + minimal data collection
GDPR,Article 30,Records of processing activities,Maintain records of processing activities,database/schema/001_core.sql (audit_logs),Automated,Implemented,Immutable audit_logs table
GDPR,Article 32,Security of processing,Implement appropriate technical and organisational measures,infrastructure/vault/ + packages/policy-engine/,Automated,Implemented,Vault + WASM policy engine + RLS
GDPR,Article 33,Notification of breach,Notify supervisory authority within 72 hours of becoming aware of breach,.github/workflows/security-audit.yml,Manual,Partial,Automated detection + manual notification processSelf-Healing,A.12.6,Technical vulnerability management,Automated detection and remediation of service failures and vulnerabilities,backend/routers/self_healing.py,Automated,Implemented,Health probes + circuit breakers + auto-remediation
Self-Healing,A.17.1,Information security continuity,Self-healing capabilities ensure service continuity during failures,backend/routers/self_healing.py,Automated,Implemented,Circuit breakers + resilience scoring + remediation logging
Adaptive,A.12.1,Operational procedures,Adaptive configuration engine auto-detects environment and optimizes settings,backend/routers/adaptive_engine.py,Automated,Implemented,Environment detection + feature flags + resource optimization
Adaptive,A.8.9,Configuration management,Runtime configuration management without service restarts,backend/routers/adaptive_engine.py,Automated,Implemented,ARM/AMD64 detection + deployment mode + feature flags
Agent Manager,A.8.26,Application security requirements,Agent registration heartbeat discovery and lifecycle management,backend/routers/agent_manager.py,Automated,Implemented,Agent registry + summoning + command queue
Agent Memory,A.8.11,Data masking,Agent memory service with GDPR-compliant purge capabilities,backend/routers/agent_memory.py,Automated,Implemented,Memory CRUD + search + per-agent purge for GDPR erasure
Runbooks,A.16.1,Incident management,Structured incident response procedures with severity levels and escalation,docs/runbooks/incident-response.md,Manual,Implemented,P1-P4 playbook + communication templates + post-mortem process
Runbooks,A.12.3,Backup,Documented backup and restore procedures with RTO/RPO targets,docs/runbooks/backup-restore.md,Manual,Implemented,Database + Vault + file storage backup with DR procedures
Crypto,A.10.1,Cryptographic controls,Post-quantum cryptography migration plan with phased timeline,docs/CRYPTO_MIGRATION.md,Manual,Implemented,Crypto inventory + hybrid PQC plan (2026-2032) + algorithm selection
License Scan,A.18.1,Legal compliance,Automated scanning of AI model and dependency licenses in CI/CD,.github/workflows/ai-license-scan.yml,Automated,Implemented,Python + Node.js + agent metadata license scanning
Docs CI,A.14.2,Security in development,Auto-generated API documentation deployed on every commit,.github/workflows/docs.yml,Automated,Implemented,TypeDoc + rustdoc + pdoc â†’ GitHub Pages
Monitoring,A.8.16,Monitoring activities,External endpoint monitoring via Blackbox Exporter,infrastructure/monitoring/blackbox.yaml,Automated,Implemented,HTTP + HTTPS + TCP + DNS probes for all services
Sustainability,A.14.1,Environmental compliance,Carbon-aware scheduling configuration for sustainable operations,infrastructure/sustainability/carbon-aware-config.yaml,Manual,Planned,WattTime/ElectricityMaps integration + workload deferral
Governance,A.5.1,Information security policy,DAO governance stubs for future decentralized platform governance,contracts/InfinityOSGovernor.sol,Manual,Planned,OpenZeppelin Governor + categorized proposals + timelock
